billich01,Chad Billins,2014,0,,,,,26
binnijo01,Jordan Binnington,2016-2024,1,,,,,861
birobr01,Brandon Biro,2022-2024,1,,,,,24
bironma01,Martin Biron,1996-2014,0,,,,,1114
bischja01,Jake Bischoff,2020,1,,,,,12
bishobe01,Ben Bishop,2009-2020,0,,,,,972
bishocl01,Clark Bishop,2019-2022,1,,,,,165
bissopa01,Paul Bissonnette,2009-2014,0,,,,,448
bitetan01,Anthony Bitetto,2015-2021,1,,,,,801
bittewi01,William Bitten,2023,1,,,,,15
bitzby01,Byron Bitz,2009-2012,0,,,,,364
bjorkan01,Anders Bjork,2018-2023,1,,,,,1092
bjorkma01,Marcus Björk,2023,1,,,,,132
bjorkka01,Kasper Björkqvist,2022,1,,,,,21
bjorkol01,Oliver Bjorkstrand,2016-2024,1,,,,,2649
bjornto01,Tobias Björnfot,2020-2024,1,,,,,417
bjugsni01,Nick Bjugstad,2013-2024,1,,,,,3606
blackje01,Jesse Blacker,2015,0,,,,,2
blackco01,Colin Blackwell,2019-2024,1,,,,,1161
blackma01,Mackenzie Blackwood,2019-2024,1,,,,,591
blaissa01,Sammy Blais,2018-2024,1,,,,,1272
blakeja02,Jackson Blake,2024,1,,,,,3
blakeja01,Jason Blake,1999-2012,0,,,,,3086
blakero01,Rob Blake,1990-2010,0,,,,,4346
blancni01,Nicolas Blanchard,2013,0,,,,,18
blandjo01,Joseph Blandisi,2016-2020,1,,,,,423
blankni01,Nick Blankenburg,2022-2024,1,,,,,219
blichjo01,Joachim Blichfeld,2020-2021,1,,,,,27
blidhan01,Anton Blidh,2017-2024,1,,,,,291
bliznma01,Mário Bližňák,2010-2011,0,,,,,14
bluegte01,Teddy Blueger,2019-2024,1,,,,,1623
blumjo02,Jonathon Blum,2011-2015,0,,,,,268
blumema01,Matěj Blümel,2023,1,,,,,21
blundmi01,Mike Blunden,2007-2018,0,,,,,280
bobrose01,Sergei Bobrovsky,2011-2024,1,,,,,2136
bochebr01,Brandon Bochenski,2006-2010,0,,,,,798
bodietr01,Troy Bodie,2009-2015,0,,,,,486
bodnaan01,Andrew Bodnarchuk,2010-2016,0,,,,,174
boesebr01,Brock Boeser,2017-2024,1,,,,,2589
bogosza01,Zach Bogosian,2009-2024,1,,,,,3810
boldual01,Alexandre Bolduc,2009-2015,0,,,,,140
boldusa01,Samuel Bolduc,2023-2024,1,,,,,177
bolduza01,Zachary Bolduc,2024,1,,,,,102
boldyma01,Matt Boldy,2022-2024,1,,,,,1122
bollja01,Jared Boll,2008-2018,0,,,,,1290
bollada01,Dave Bolland,2007-2016,0,,,,,1282
bollibr01,Brandon Bollig,2012-2016,0,,,,,528
boninni01,Nick Bonino,2010-2024,1,,,,,3921
bonkra01,Radek Bonk,1995-2009,0,,,,,2932
boogade01,Derek Boogaard,2006-2011,0,,,,,586
boothda01,David Booth,2007-2018,0,,,,,1716
bootlda01,Darryl Bootland,2004-2008,0,,,,,70
boqviad01,Adam Boqvist,2020-2024,1,,,,,882
boqvije01,Jesper Boqvist,2020-2024,1,,,,,915
bordepa02,Patrick Bordeleau,2013-2015,0,,,,,290
bordeth01,Thomas Bordeleau,2022-2024,1,,,,,183
borerca01,Casey Borer,2008-2010,0,,,,,38
borgewi01,William Borgen,2019-2024,1,,,,,801
borgman01,Andreas Borgman,2018-2021,1,,,,,204
borgshe01,Henrik Borgström,2018-2023,1,,,,,411
borowma01,Mark Borowiecki,2012-2023,0,,,,,1028
borturo01,Robert Bortuzzo,2012-2024,1,,,,,2160
bouchev01,Evan Bouchard,2019-2024,1,,,,,1308
bouchpi02,Pierre-Marc Bouchard,2003-2014,0,,,,,1898
bouchbr01,Brian Boucher,2000-2013,0,,,,,726
bouchph01,Philippe Boucher,1993-2009,0,,,,,2238
bouchre01,Reid Boucher,2014-2019,0,,,,,448
bouilfr01,Francis Bouillon,2000-2014,0,,,,,1906
bouleje01,Jesse Boulerice,2002-2009,0,,,,,440
boulter01,Eric Boulton,2001-2016,0,,,,,1466
boumala01,Lance Bouma,2011-2018,0,,,,,866
bourdlu01,Luc Bourdon,2007-2008,0,,,,,76
bourdma01,Marc-Andre Bourdon,2012,0,,,,,104
bournmi01,Michael Bournival,2014-2018,0,,,,,270
bourqch01,Chris Bourque,2008-2013,0,,,,,166
bourqga01,Gabriel Bourque,2012-2020,0,,,,,1032
bourqma01,Mavrik Bourque,2024,1,,,,,3
bourqre01,Rene Bourque,2006-2017,0,,,,,2412
bourqry01,Ryan Bourque,2015,0,,,,,2
bouwmja01,Jay Bouwmeester,2003-2020,0,,,,,3466
bowla01,Landon Bow,2019,0,,,,,4
bowersh01,Shane Bowers,2023-2024,1,,,,,27
boweyma01,Madison Bowey,2018-2022,1,,,,,774
bowmadr01,Drayson Bowman,2010-2015,0,,,,,424
boyceda01,Darryl Boyce,2008-2012,0,,,,,288
boychjo01,Johnny Boychuk,2008-2020,0,,,,,1862
boychza01,Zach Boychuk,2009-2015,0,,,,,344
boyddu01,Dustin Boyd,2007-2011,0,,,,,770
boydtr01,Travis Boyd,2018-2024,1,,,,,1389
boyesbr01,Brad Boyes,2004-2016,0,,,,,3184
boylebr01,Brian Boyle,2008-2022,0,,,,,2640
boyleda01,Dan Boyle,1999-2016,0,,,,,3580
